WORD,MEANING
tatty,"[MEANING 1]adj.破旧的，褴褛的: somewhat worn, shabby, or dilapidated"
taunt,[MEANING 1]vt.嘲弄性质疑，挑衅: to reproach or challenge in a mocking or insulting manner: jeer at
taut,"[MEANING 1]adj.紧绷的: not loose or flabby
[MEANING 2]adj.整洁的: kept in proper order or condition, kept in trim shape; neat and tidy"
tawdry,[MEANING 1]adj.俗丽的: cheap and gaudy in appearance or quality; ignoble
taxing,"[MEANING 1]adj.繁重的，费力的: requiring much time, effort, or careful attention"
tedious,[MEANING 1]adj.冗长乏味的: tiresome because of length or dullness: boring
teeter,"[MEANING 1]vi.蹒跚，不稳定的行走: to move unsteadily: wobble
[MEANING 2]v.犹豫不决: to show uncertainty about the right course of action"
teetotalism,[MEANING 1]n.禁酒: the principle or practice of complete abstinence from alcoholic drinks
telling,"[MEANING 1]adj.有效的，显著的: effective, expressive"
temerity,[MEANING 1]n.鲁莽，冒失: foolhardy disregard of danger; recklessness
temporize,"[MEANING 1]v.行动躲躲闪闪以争取时间、躲避争论等: to act evasively in order to gain time, avoid argument, or postpone a decision"
temperate,"[MEANING 1]adj.言行举止有分寸的: avoiding extremes in behavior or expression
[MEANING 2]adj.有节制的: given to or marked by restraint in the satisfaction of one's appetites"
tempestuous,[MEANING 1]adj.突然且剧烈的变化: marked by sudden or violent disturbance
tenable,[MEANING 1]adj.有据可依的，无懈可击的: capable of being held or defended; reasonable
tenacious,"[MEANING 1]adj.顽固的，不屈不挠的: persistent in maintaining something valued or habitual
[MEANING 2]adj.粘着的: tending to adhere to objects upon contact"
tendentious,[MEANING 1]adj.有偏见的: marked by a tendency in favor of a particular point of view: biased
tender,"[MEANING 1]vt.正式提出: to offer formally
[MEANING 2]adj.考虑周到的，关心[SYNONYMS]情的: having or marked by sympathy and consideration for others"
tenuous,[MEANING 1]adj.没有实际内容的: having little substance; flimsy
tepid,[MEANING 1]adj.不太热心的: showing little or no interest or enthusiasm
terminology,[MEANING 1]n.专业术语: the special terms or expressions of a particular group or field
terminus,[MEANING 1]n.终点，终点站: the final point; the end
terror,[MEANING 1]n.极度恐惧: a state of intense fear
terse,[MEANING 1]adj.简洁的，简明的: brief and to the point; effectively concise
testimony,[MEANING 1]n.证词，声明: firsthand authentication of a fact
testy,[MEANING 1]adj.易怒的，暴躁的: easily annoyed: irritable
tether,"[MEANING 1]vt.(用绳，铁链)拴系，束缚: to fasten or restrain by or as if by a tether
[MEANING 2]n.能力或忍耐力的极限: the limit of one's strength or resources"
theatrical,[MEANING 1]adj.做作的，夸张的，矫揉造作的: marked by exaggerated self-display and unnatural behavior
therapeutic,[MEANING 1]adj.治疗的: of or relating to the treatment of disease or disorders by remedial agents or methods
thorny,"[MEANING 1]adj.多剌的: full of thorns
[MEANING 2]adj.棘手的: full of difficulties or controversial points : ticklish"
threadbare,"[MEANING 1]adj.陈腐的: overused to the point of being worn out; hackneved
[MEANING 2]adj.贫穷的: lacking money or material possessions
[MEANING 3]adj.破烂的: worn or torn into or as if into rags"
throng,[MEANING 1]vi. /n.大量聚集: to crowd together in great numbers
thwart,[MEANING 1]vt.阻挠: to oppose successfully
ticklish,"[MEANING 1]adj.易怒的: easily offended or upset; touchy
[MEANING 2]adj.棘手的，对技巧要求高的: requiring exceptional skill or caution in performance or handling"
tiff,[MEANING 1]n./v.小争吵: a petty quarrel
tightfisted,[MEANING 1]adj.吝啬的: close-fisted; stingy
timeworn,"[MEANING 1]adj.陈腐的: hackneyed, stale"
timid,[MEANING 1]adj.胆小的，不自信的: lacking in courage or self-confidence
timorous,[MEANING 1]adj.胆小的: of a timid disposition: fearful
tinge,[MEANING 1]vt.给...着上少量的色彩: to color with a slight shade or stain; tint
tinker,"[MEANING 1]vi.乱修，乱调整: to handle thoughtlessly, ignorantly, or mischievously"
tint,[MEANING 1]v.涂浅色，微染: apply a usually slight or pale coloration to
tirade,"[MEANING 1]n.长篇抨击性演讲: a long angry or violent speech, usually of a censorious or denunciatory nature; a diatribe"
toady,[MEANING 1]n./v.马屁精，拍马屁: one who flatters in the hope of gaining favors
tonic,"[MEANING 1]adj.滋补的，有益健康的: producing or stimulating physical, mental, or emotional vigor; beneficial to the health of body or mind"
topsy-turvy,"[MEANING 1] adj.混乱的: lacking in order, neatness, and often cleanliness"
torpid,"[MEANING 1]adj.麻木的，没有知觉的: lacking in sensation or feeling
[MEANING 2]adj.迟钝的，行动迟缓的: slow to move or act"
torpor,"[MEANING 1]n.缺乏兴趣: lack of interest or concern
[MEANING 2]n.(肉体或精神上的)迟钝: physical or mental inertness"
torrential,[MEANING 1]adj.急流的: caused by or resulting from action of rapid streams
torrid,"[MEANING 1]adj.酷热的: intensely hot
[MEANING 2]adj.热情的，情感深厚的: having or expressing great depth of feeling"
tortuous,"[MEANING 1]adj.转弯抹角的: marked by devious or indirect tactics: crooked, tricky"
tout,[MEANING 1]vt.极力赞扬: to promote or praise energetically; publicize
toy,"[MEANING 1]vi.草率或不认真地对待: to handle thoughtlessly, ignorantly, or mischievously"
tractable,[MEANING 1]adj.易驾驭的，温顺的: readily giving in to the command or authority of another
tranquility,[MEANING 1]n.宁静，淡定: a state of freedom from storm or disturbance
transcend,[MEANING 1]vt.超越，超过极限: to rise above or go beyond the limits of
transfigure,[MEANING 1]vt.改变外观: to alter the outward appearance of; transform
transgress,[MEANING 1]vt.违背，犯错: to fail to keep; to commit an offense
transient,[MEANING 1]adj.短暂的，瞬时的: passing with time; transitory
transitory,[MEANING 1]adj.短暂的: existing or lasting only a short time; short-lived or temporary
translucent,"[MEANING 1]adj.透明的: permitting the passage of light: clear, transparent"
transparent,"[MEANING 1]adj.透明的: capable of transmitting light
[MEANING 2]adj.没有歧义，清晰易懂的: not subject to misinterpretation or more than one interpretation"
travail,"[MEANING 1]n./v.辛苦劳动: work, especially when arduous or involving painful effort"
traverse,"[MEANING 1]vt.横穿: to travel or pass across, over, or through"
travesty,"[MEANING 1]n./v.拙劣的、嘲弄性模仿: an exaggerated or grotesque imitation, such as a parody of a literary work"
treacherous,"[MEANING 1]adj.背叛的: marked by betrayal of fidelity, confidence, or trust"
trenchant,"[MEANING 1]adj.锐利的: keen, sharp
[MEANING 2]adj.(言辞)一针见血的: vigorously effective and articulate"
trepidation,[MEANING 1]n.恐惧，战栗: the emotion experienced in the presence or threat of danger; apprehension
trespass,[MEANING 1]vi.非法侵入，违ANTONYM: to commit an offense
tribute,"[MEANING 1]n.颂词: a gift, payment, declaration, or other acknowledgment of gratitude, respect, or admiration"
trickle,[MEANING 1]vi. 一滴滴地流，徐徐地流: to issue or fall in drops
trite,"[MEANING 1]adj.陈腐的，陈词滥调的: hackneved or boring from much use, not fresh or original"
trivial,[MEANING 1]adj.琐碎的，无足轻重的: of ttje worth or importance
truant,[MEANING 1]adj./ n./ vi.逃避责任的: shirking responsibility; one who shirks duty
truce,[MEANING 1]n.休战，休战协定: a suspension of fighting especially of considerable duration by agreement of opposing forces
truculent,"[MEANING 1]adj.尖酸刻薄的: marked by harsh insulting language
[MEANING 2]adj.好战的: feeling or displaying eagerness to fight"
trudge,[MEANING 1]vi.吃力而笨拙地走: to move heavily or clumsily
trumpet,[MEANING 1]v.大声说出或宣告: to make known openly or publicly
truncate,[MEANING 1]v.截短(时间，程度): to shorten by or as if by cutting off
truss,[MEANING 1]v.系紧，扎紧: to gather into a tight mass by means of a line or cord
tumult,"[MEANING 1]n.骚动，暴动: a disorderly commotion or disturbance, a riot"
turbid,[MEANING 1]adj.混浊的: deficient in clarity or purity
turbulent,"[MEANING 1]adj.动荡的: marked by sudden or violent disturbance
[MEANING 2]adj.湍急的，汹涌的: marked by turmoil or disturbance especially of natural elements"
turgid,[MEANING 1]adj.浮夸的，过分装饰的: excessively embellished in style or language
turmoil,"[MEANING 1]n.骚动，混乱: a state or condition of extreme confusion, agitation, or commotion"
turncoat,[MEANING 1]n.叛徒: one who switches to an opposing side or party; specifically: traitor
turpitude,[MEANING 1]n.卑鄙: inherent baseness: depravity
twig,[MEANING 1]v. 了解: to have a clear idea of
typo,[MEANING 1]n.打字错误: an error in typed or typeset material
tyro,[MEANING 1]n.新手，业余爱好者: a beginner in learning: novice
ubiquitous,[MEANING 1]adj.无所不在的，普通的: being everywhere at the same time; often observed or encountered
unassailable,"[MEANING 1]adj.无可争辩的，无法否认的，不可亵渎的: not to be violated, criticized, or tampered with"
uncanny,[MEANING 1]adj.离奇的，奇异的: being so extraordinary or abnormal as to suggest powers which violate the laws of nature
uncouth,[MEANING 1]adj.粗俗的，没有品位的: lacking in refinement or good taste
unctuous,"[MEANING 1]adj.油嘴滑舌的，谄媚的: overly or insincerely flattering
[MEANING 2]adj.夸张的，做作的: characterized by affected, exaggerated, or insincere earnestness"
underdog,[MEANING 1]n.受害者，输家: a loser/ victim or predicted loser in a struggle or contest
undergird,[MEANING 1]vt.加强，巩固...的底部: to support or strengthen from beneath
undermine,"[MEANING 1]vt.削弱，破坏: to weaken, injure, or impair, often by degrees or imperceptibly"
underscore,[MEANING 1]vt.强调: to emphasize; stress
understate,[MEANING 1]vt.保守陈述: to state or present with restraint especially for effect
understudy,[MEANING 1]n.替补演员: one who is prepared to act another's part or take over another's duties
unexceptionable,"[MEANING 1]adj.无懈可击的: not open to objection or criticism, beyond reproach"
unflappable,[MEANING 1]adj.镇定的，从容不迫的: not easily upset or excited
ungainly,[MEANING 1]adj.笨拙的，不雅的: having or showing an inability to move in a graceful manner
unimpeachable,[MEANING 1]adj.无可置疑的: beyond doubt; unquestionable
unkempt,"[MEANING 1]adj.凌乱的，无序的: lacking in order, neatness, and often cleanliness"
unlettered,[MEANING 1]adj.未受教育的，文盲的: not adept at reading and writing; deficient in the knowledge that can be acquired from books. illiterate
unpretentious,"[MEANING 1]adj.低调的，谦逊的: lacking pretension or affectation; modest
[MEANING 2]adj.坦诚的，自然的: free from any intent to deceive or impress others"
unproductive,[MEANING 1]adj.徒然的，无效的: not productive; idle
unrequited,[MEANING 1]adj.无报答的，无报酬的: not reciprocated or returned in kind
unruly,"[MEANING 1]adj.难驾驭的，不守规矩的: difficult or impossible to discipline, control, or rule."
untenable,[MEANING 1]adj.防守不住的，站不住脚的: not able to be defended
untold,[MEANING 1]adj.数不清的，无数的: too great or numerous to count
untoward,"[MEANING 1]adj.倒霉的，不吉利的: not favorable, unpropitious
[MEANING 2]adj.难以驯服的，难以驾驭的: given to resisting control or discipline by others"
unwitting,"[MEANING 1]adj.不知道的，未觉察的: not knowing, unaware
[MEANING 2]adj.偶然的，并非有意的: happening by chance; not intended"
unwonted,[MEANING 1]adj.不习惯的，不寻常的: not habitual or ordinary; unusual
upbraid,[MEANING 1]vt.(严厉地)谴责，责骂: to reproach severely
uphold,[MEANING 1]vt.支持，赞成: to give support to
urbane,[MEANING 1]adj.彬彬有礼的，文雅的: notably polite or finished in manner
usurp,"[MEANING 1]vt.篡夺，篡位: to seize and hold (the power or rights of another, for example) by force and without legal authority"
utter,"[MEANING 1]vt.出声，说话: to articulate (words); pronounce or speak
[MEANING 2]adj.完全的，绝对的: complete; absolute; entire"
vaccinate,"[MEANING 1]v.预防接种: to inoculate with a vaccine in order to produce immunity to an infectious disease, such as diphtheria or typhus"
vacillate,"[MEANING 1]vi.犹豫不决: to waver in mind, will, or feeling: hesitate in choice of opinions or courses
[MEANING 2]vi.摇动，摇摆: to sway from one side to the other; oscillate"
vacuous,[MEANING 1]adj.茫然的，愚蠢的: marked by lack of ideas or intelligence
vagary,"[MEANING 1]n.不可预测的思想或行为: an erratic, unpredictable, or extravagant manifestation, action, or notion"
vague,"[MEANING 1]adj.表达不清的: not clearly expressed
[MEANING 2]adj.轮廓不清晰的: lacking definite shape, form, or character"
valediction,"[MEANING 1]n.告别: an act of bidding farewell
[MEANING 2]n.告别词: an address or statement of farewell or leave-taking"
valiant,[MEANING 1]adj.勇敢的，英勇的: possessing or acting with bravery or boldness
valid,[MEANING 1]adj.逻辑上正确的: logically correct
vanquish,[MEANING 1]vt.打败，征服: to defeat in a conflict or contest
vapid,"[MEANING 1]adj.无趣的，乏味的: lacking liveliness, animation, or interest"
vaporize,"[MEANING 1]vt.使(液体)蒸发: to convert (as by the application of heat or by spraying) into vapor
[MEANING 2]vt.彻切底消灭: to destroy by or as if by converting into vapor"
variance,[MEANING 1]n.不一致，不和谐: a lack of agreement or harmony
variegated,[MEANING 1]adj.杂色的，斑驳的: having discrete markings of different colors
varnish,"[MEANING 1]vt.上清漆，使有光泽: to give a smooth and glossy finish to
[MEANING 2]vt.粉饰(令人不悦的东西): to cover or conceal (as something unpleasant) with something that gives an attractive appearance"
vault,"[MEANING 1]vi.跳起，跳跃: to propel oneself upward or forward into the air
[MEANING 2]vi. 一跃而至: to accomplish something as if by leaping suddenly or vigorously"
vaunt,[MEANING 1]vi.吹嘘: to speak boastfully
veer,[MEANING 1]v.转向，改变航线: to change direction or course
vehement,[MEANING 1]adj.(情感)强烈的，热情的: having or expressing great depth of feeling
venal,[MEANING 1]adj.容易贪污受贿的: open to corrupt influence and especially bribery
vendor,[MEANING 1]n.小贩，商贩: one that sells or vends
veneer,"[MEANING 1]n.薄木板，用以贴在家具外面的饰面板: a thin surface layer, as of finely grained wood, glued to a base of inferior material
[MEANING 2]vt.粉饰(不好的东西): to cover over with a veneer; especially to conceal (as a defect of character) under a superficial and deceptive attractiveness"
venerate,[MEANING 1]vt.尊敬: to regard with reverential respect or with admiring deference
venial,[MEANING 1]adj.可宽恕的: easily excused or forgiven
venom,"[MEANING 1]n.毒液: poisonous matter normally secreted by some animals as snakes, scorpions, or bees
[MEANING 2]n.恶意，恶毒的用心: the desire to cause pain for the satisfaction of doing harm"
veracious,"[MEANING 1]adj.诚实的，说实话的: being in the habit of telling the truth
[MEANING 2]adj.精确的，准确的: precise, accurate"
verbatim,[MEANING 1]adv.逐字地，一字不差地: in the exact words
verbose,[MEANING 1]adj.冗长的，啰嗦的: containing more words than necessary
verdant,[MEANING 1]adj.(因长满植物而)翠绿的，郁郁葱葱的: green with vegetation; covered with green growth
verify,"[MEANING 1]vt.校验，证实: to determine or test the truth or accuracy of, as by comparison, investigation, or reference"
verisimilar,[MEANING 1]adj.似乎真实的: appearing to be true or real
veritable,"[MEANING 1]adj.真正的，确实的: being in fact the thing named and not false, unreal, or imaginary"
vernacular,"[MEANING 1]n.方言: a nonstandard language or dialect of a place, region, or country
[MEANING 2]adj.非正式的，口头的: used in or suitable for speech and not formal writing"
versatile,"[MEANING 1]adj.多才多艺的，全能的: able to do many different kinds of things
[MEANING 2]adj.易改变的: changing or fluctuating readily"
verse,"[MEANING 1]vt.使精通，使熟悉: to familiarize by close association, study, or experience
[MEANING 2]n.诗歌: a composition using rhythm and often rhyme to create a lyrical effect"
vertigo,[MEANING 1]n.眩晕: a dizzy confused state of mind
verve,"[MEANING 1]n.活力，热情: vitality, liveliness"
vessel,"[MEANING 1]n.血管: a tube or canal (as an artery) in which a body fluid is contained and conveyed or circulated
[MEANING 2]n.船，舰艇: a watercraft bigger than a rowboat"
vestige,[MEANING 1]n.微小的遗迹，小痕迹: the smallest quantity or trace
vestigial,[MEANING 1]adj.退化的，发育不全的: (of certain organs or parts of organisms) having attained a simple structure and reduced size and function during the evolution of the species
veteran,"[MEANING 1]n.老兵，有丰富经验的人: one having knowledge or ability gained through long experience
[MEANING 2]adj.经验丰富的，资深的: having or showing exceptional knowledge, experience, or skill in a field of endeavor"
veto,[MEANING 1]n./vt.否决，禁止: to forbid or prohibit authoritatively
vex,"[MEANING 1]vt.使烦恼，使恼怒: to bring trouble, distress, or agitation to"
viable,[MEANING 1]adj.可行的: capable of being done or carried out
vicarious,[MEANING 1]adj.代理的，取代的: performed or suffered by one person as a substitute for another or to the benefit or advantage of another
vicious,"[MEANING 1]adj.凶恶的，恶毒的: having or showing the desire to inflict severe pain and suffering on others
[MEANING 2]adj.猛烈的: marked by violence or ferocity"
vicissitude,[MEANING 1]n.自然变化: natural change or mutation visible in nature or in human affairs
victimize,[MEANING 1]vt.使受骗: to subject to deception or fraud
vigilant,[MEANING 1]adj.警醒的，警惕的: alertly watchful especially to avoid danger
vignette,[MEANING 1]n.简介短文: a vivid representation in words of someone or something
vigorous,"[MEANING 1]adj.精力旺盛的: having active strength of body or mind
[MEANING 2]adj.强健的: able to withstand hardship, strain, or exposure"
vilify,[MEANING 1]vt.诽谤，辱骂: to utter slanderous and abusive statements against
vim,[MEANING 1]n.活力，精力: robust energy and enthusiasm
vindicate,"[MEANING 1]vt.为...平ANTONYM，为...辩护，使无罪: to free from allegation or blame
[MEANING 2]vt.证明，证实: to give evidence or testimony to the truth or factualness of"
vindictive,[MEANING 1]adj.复仇的(有寻仇倾向的): disposed to seek revenge
virtuoso,"[MEANING 1]n.艺术鉴赏家，专家: a person with masterly skill or technique in the arts
[MEANING 2]adj.经验丰富的，技艺精湛的: having or showing exceptional knowledge, experience, or skill in a field of endeavor"
virtuous,"[MEANING 1]adj.品德高尚的，正直的: having or showing virtue, especially moral excellence"
virulent,"[MEANING 1]adj.有毒的: extremely poisonous or venomous
[MEANING 2]adj.凶残的: marked by a rapid, severe, and destructive course"
viscid,[MEANING 1]adj.有粘性的: having a glutinous consistency
viscous,[MEANING 1]adj.粘稠的，粘的: viscid; sticky
visionary,"[MEANING 1]adj.空想的，不切实际的: having or marked by a tendency to be guided more by ideals than by reality
[MEANING 2]adj.幻觉的: not real and existing only in the imagination
[MEANING 3]adj.有远见的: having or marked by foresight and imagination"
vitality,[MEANING 1]n.活力，生命力: physical or mental vigor especially when highly developed
vitiate,"[MEANING 1]v.削弱，损害: to reduce the value or impair the quality of
[MEANING 2]v.(在道德、审美上)降低，堕落: to debase in moral or aesthetic status"
vitriolic,[MEANING 1]adj.(言辞)刻薄的: bitterly scathing
vituperate,[MEANING 1]vt.谩骂，责骂: to abuse or censure severely or abusively
vivacious,"[MEANING 1]adj.活泼的，快活的: lively in temper, conduct, or spirit"
vociferous,"[MEANING 1]adj.喧哗的，大叫大嚷的: making, given to, or marked by noisy and vehement outcry"
volatile,[MEANING 1]adj.多变的: characterized by or subject to rapid or unexpected change
volition,[MEANING 1]n.意志，自愿选择的行为: the act or power of making one's own choices or decisions
voluble,[MEANING 1]adj.健谈的，话多的: characterized by ready or rapid speech
voluminous,"[MEANING 1]adj.卷数多的，大量的，庞大的: having great volume, fullness, size, or number"
voluptuous,"[MEANING 1]adj.奢侈逸乐的，沉溺酒色的: given to or spent in enjoyments of luxury, pleasure, or sensual gratifications"
voracious,"[MEANING 1]adj.有很大食量的，贪吃的: having a huge appetite
[MEANING 2]adj.贪婪的，如饥似渴的: having or marked by an insatiable appetite for an activity or pursuit"
votary,"[MEANING 1]n.崇拜者，信徒: a person who is fervently devoted, as to a leader or ideal; a faithful follower"
vouch,[MEANING 1]vi.担保，声称为真: to declare (something) to be true or genuine; to give a guarantee
vulgar,"[MEANING 1]adj.粗俗的，无教养的: morally crude, undeveloped, or unregenerate
[MEANING 2]adj. 口头的，非正式的: used in or suitable for speech and not formal writing"
vulnerable,[MEANING 1]adj.易受攻击的，脆弱的: open to attack or damage
waddle,[MEANING 1]vi.摇摇摆摆地走: to walk with short steps that tilt the body from side to side
waffle,[MEANING 1]vi.胡扯: to talk or write foolishly
waft,"[MEANING 1]vt.飘荡，漂浮: to float easily and gently, as on the air"
wag,"[MEANING 1]n.幽默诙谐的人: a humorous or droll person
[MEANING 2]vt.摆动: to move to and fro or up and down especially with quick jerky motions"
wan,[MEANING 1]adj.苍白的，病态的: suggestive of poor health
wanderlust,[MEANING 1]n.旅行癖: a very strong or irresistible impulse to travel
wane,"[MEANING 1]vi.减少，衰退，降低: to decrease in size, extent, or degree"
want,"[MEANING 1]n.短缺: the condition or quality of lacking something usual or necessary
[MEANING 2]vt.渴望: to have a strong desire for"
warmonger,[MEANING 1]n.好战者: one who urges or attempts to stir up war
warp,"[MEANING 1]vt.使偏向: to turn from a correct or proper course
[MEANING 2]vt.扭曲，变形: to twist (something) out of a natural or normal shape or condition
[MEANING 3]vt.曲解: to change so much as to create a wrong impression or alter the meaning of"
warrant,"[MEANING 1]vt.承诺: to assume responsibility for the satisfactory quality or performance of
[MEANING 2]vt.批准，认可: to give official acceptance of as satisfactory"
wary,"[MEANING 1]adj.小心的，机警的，谨慎的: marked by keen caution, cunning, and watchfulness"
wastrel,[MEANING 1]n.肆意挥霍的人，败家子: one who expends resources foolishly and self-indulgently
watershed,[MEANING 1]n.重要关头，分水岭: a crucial dividing point: turning point
wax,"[MEANING 1]vi.月亮渐满: to increase in phase or intensity, used chiefly of the moon, other satellites, and inferior planets
[MEANING 2]vt.用蜡涂、处理或上光: to coat (something) with a slippery substance in order to reduce friction
[MEANING 3]vi.增大，增强: to increase in size, numbers, strength, prosperity, or intensity"
waylay,[MEANING 1]vt.埋伏，伏击: to lie in wait for or attack from ambush
welter,[MEANING 1]n.混乱;动乱: a state of wild disorder
wheedle,[MEANING 1]vt.(用花言巧语)诱惑，哄骗: to persuade or attempt to persuade by flattery or guile
whet,[MEANING 1]vt.磨快: to sharpen by rubbing on or with something (as a stone)
whiff,"[MEANING 1]n.微风: a quick puff or slight gust especially of air, odor, gas, smoke, or spray
[MEANING 2]n.细微的信号，略微痕迹: an almost imperceptible sign of something"
whimsical,"[MEANING 1]adj.ANTONYM复无常的: prone to sudden illogical changes of mind, ideas, or actions"
wholesome,"[MEANING 1]adj.有益身心健康的: promoting mental, moral, or social health"
wicked,[MEANING 1]adj.邪恶的: morally very bad
wince,[MEANING 1]vi.畏缩: to shrink back involuntarily as from pain
windbag,[MEANING 1]n.健谈的人: an exhaustively talkative person
windy,[MEANING 1]adj.冗长的: characterized by wearisome verbosity
winsome,[MEANING 1]adj.迷人的，漂亮的: generally pleasing and engaging often because of a childlike charm and innocence
wit,"[MEANING 1]n.机智，智慧: the natural ability to perceive and understand
[MEANING 2]n.智者，有智慧的人: a person of exceptional intelligence"
withdraw,[MEANING 1]vi.撤退: to take back or away
wither,[MEANING 1]vi.枯萎，凋谢: to become dry and sapless
withhold,"[MEANING 1]vt.扣压，不给予: to refrain from granting, giving, or allowing"
wizen,"[MEANING 1]vt.(使)凋谢，(使)枯萎: to become dry, shrunken, and wrinkled often as a result of aging or of failing vitality
[MEANING 2]adj.凋谢的，枯萎的: shriveled or dried up"
wobble,"[MEANING 1]vi.摇晃，颤抖: to move or proceed with an irregular rocking or staggering motion or unsteadily and clumsily from side to side
[MEANING 2]vi.犹豫不决: to show uncertainty about the right course of action"
worldly,"[MEANING 1]adj.世间的，世俗的: of this world rather than spiritual or religion affairs
[MEANING 2]adj.老练的: experienced in human affairs"
worship,"[MEANING 1]n.崇拜，敬仰: extravagant respect to an object of esteem
[MEANING 2]v.崇拜，膜拜: to offer honor or respect to (someone) as a divine power"
wrangle,"[MEANING 1]n.纷争，争端: an often noisy or angry expression of differing opinions
[MEANING 2]vi.争吵: to quarrel noisily or angrily"
wretched,"[MEANING 1]adj.极差的: very poor in quality or ability
[MEANING 2]adj.沮丧的: deeply afflicted, dejected, or distressed in body or mind"
wry,"[MEANING 1]adj.扭曲的: abnormally twisted or bent to one side
[MEANING 2]adj.坚持错误的: stubborn in adherence to wrong opinion or principles"
xenophobe,[MEANING 1]n.仇视(或畏惧)外国人(或外国事物)者: one unduly fearful of what is foreign and especially of people of foreign origin
yoke,[MEANING 1]v.连接: to become joined or linked
yokel,[MEANING 1]n.乡下人，天真纯朴的人: a naive or gullible inhabitant of a rural areaor small town
zeal,"[MEANING 1]n.热心、热诚: enthusiastic devotion to a cause, ideal, or goal and tireless diligence in its furtherance"
zealot,[MEANING 1]n.狂热者: a zealous person; especially: a fanatical partisan
zenith,[MEANING 1]n.最高点，巅峰: culminating point
zesty,[MEANING 1]adj.剌激的，开胃的: appealingly piquant or lively
abreast,"[MEANING 1]adv.并排地: beside one another with bodies in line
[MEANING 2]adj.熟知的: up to a particular standard or level especially of knowledge of recent developments"
absent,"[MEANING 1]adj.未出现的，缺乏的: not present, attending or existing
[MEANING 2]adj.不专心的，走神的: lost in thought"
acclaim,[MEANING 1] n.称赞: public acknowledgment or admiration for an achievement
accomplish,[MEANING 1]vt.完成，实现: to carry through (as a process) to completion
accord,"[MEANING 1]n. 一致: a state of consistency
[MEANING 2]vi.相符合，相一致: to be consistent or in harmony
[MEANING 3]vt.授予，给予: to grant or give especially as appropriate, due, or earned"
acknowledge,"[MEANING 1]vt.承认: to admit the existence, reality, or truth of"
acquire,[MEANING 1]vt.获取，获得: to get as one's own
acquisitive,[MEANING 1]adj.贪婪的: strongly desirous of acquiring and possessing
adjudicate,"[MEANING 1]vt.裁决，判定: to hear and settlea case, dispute or conflict"
adversity,"[MEANING 1]n.厄运，逆境: a state, condition, or instance of serious or continued difficulty or adverse fortune"
affectation,[MEANING 1]n.虚伪，做作: the act of taking on or displaying an attitude or mode of behavior not natural to oneself or not genuinely felt
affirm,[MEANING 1]vt.声称为真，肯定属实: to assert (as a judgment or decree) as valid or confirmed
affix,[MEANING 1]vt.粘合: to attach physically
affliction,[MEANING 1]n.痛苦，悲伤，折磨: a state of great suffering of body or mind
agape,[MEANING 1]adj.急切盼望的: having or showing signs of eagerly awaiting something
agility,[MEANING 1]n.(身手)敏捷: ease and grace in physical activity
agonize,"[MEANING 1]vt.折磨，使痛苦: to cause to suffer aaonY
[MEANING 2]vi.感到痛苦: to suffer agony, torture, or anguish"
agreeable,"[MEANING 1]adj.令人愉悦的: pleasing to the mind or senses especially as according well with one's tastes or needs
[MEANING 2]adj.随和的: having an easygoing and pleasing manner especially in social situations
[MEANING 3]adj.相一致的: being in harmony"
alienate,"[MEANING 1]vt.使...疏远: to make unfriendly, hostile, or indifferent especially where attachment formerly existed
[MEANING 2]vt.转让，让渡: to convey or transfer (as property or a right) usually by a specific act rather than the due course of law"
alloy,"[MEANING 1]n.合金，混合物: a distinct entity formed by the combining of two or more different things
[MEANING 2]vt.掺杂，降低纯度: to debase by the addition of an inferior element"
ambivalent,[MEANING 1]adj.(尤指感情、态度)矛盾的: having a mixture of opposing feelings
anachronistic,[MEANING 1]adj.时代错误的: chronologically misplaced
analogous,[MEANING 1]adj.相似的，可比较的: having qualities in common
annex,"[MEANING 1]n.裙楼，副楼: a building added on to a larger one or an auxiliary building situated near a main one
[MEANING 2]vt.添加，合并: to join (something) to a mass, quantity, or number so as to bring about an overall increase
[MEANING 3]vt.吞并，夺取(土地等): to incorporate (a country or other territory) within the domain of a state"
annotate,[MEANING 1]vt.做注解: to furnish (a literary work) with critical commentary or explanatory notes
antedate,[MEANING 1]vt.比...早，早于: to be of an earlier date than
antipathy,"[MEANING 1]n.厌恶，ANTONYM感: settled aversion or dislike
[MEANING 2]n.令人ANTONYM感的事物: an object of aversion"
antiquated,[MEANING 1]adj.古老的，过时的: outmoded or discredited by reason of age: being out of style or fashion
antithetical,[MEANING 1]adj.完全对立的，相ANTONYM的: being in direct and unequivocal opposition
apparition,[MEANING 1]n.鬼魂，幽灵: a ghostly figure
applicable,"[MEANING 1]adj.可用的，可行的: capable of being put to use or account
[MEANING 2]adj.相关的，有关的: having to do with the matter at hand
[MEANING 3]adj.合适的，恰当的: meeting the requirements of a purpose or situation"
apprehensive,"[MEANING 1]adj.知晓的，理解的: having specified facts or feelings actively impressed on the mind
[MEANING 2]adj.恐惧的，害怕的: anxious or fearful about the future"
arable,[MEANING 1]adj.适合耕种的: fit for or used for the growing of crops
arbitrary,"[MEANING 1]adj.专横的，独断专行的: having or showing a tendency to force one's will on others without any regard to fairness or necessity
[MEANING 2]adj.独裁的，拥有无限权力的: exercising power or authority without interference by others
[MEANING 3]adj.缺乏计划的，随意的: lacking a definite plan, purpose, or pattern"
